track_name,track_id,track_uri,artist_name,album_name,album_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,duration_ms,time_signature,popularity,release_date
Shape of You,7qiZfU4dY1lWllzX7mPBI3,spotify:track:7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,÷ (Deluxe),spotify:album:3T4tUhGYeRNVUGevb0wThu,0.825,0.652,1,-3.183,0,0.0802,0.581,0.0,0.0931,0.931,95.977,spotify:track:7qiZfU4dY1lWllzX7mPBI3,233712,4,86,2017-03
How Long,6wmAHw1szh5RCKSRjiXhPe,spotify:track:6wmAHw1szh5RCKSRjiXhPe,Charlie Puth,Voicenotes,spotify:album:0mZIUXje90JtHxPNzWsJNR,0.845,0.561,1,-5.253,0,0.0778,0.211,3.49e-06,0.0383,0.811,109.974,spotify:track:6wmAHw1szh5RCKSRjiXhPe,200853,4,72,2018-05
Attention,5cF0dROlMOK5uNZtivgu50,spotify:track:5cF0dROlMOK5uNZtivgu50,Charlie Puth,Voicenotes,spotify:album:0mZIUXje90JtHxPNzWsJNR,0.775,0.613,3,-4.586,0,0.0542,0.109,2.33e-05,0.134,0.797,100.066,spotify:track:5cF0dROlMOK5uNZtivgu50,208786,4,79,2018-05
Patient,2ZrHbO88rM6Ijeg0aJmSzl,spotify:track:2ZrHbO88rM6Ijeg0aJmSzl,Charlie Puth,Voicenotes,spotify:album:0mZIUXje90JtHxPNzWsJNR,0.675,0.604,1,-6.266,1,0.193,0.752,0.0,0.111,0.456,168.034,spotify:track:2ZrHbO88rM6Ijeg0aJmSzl,190533,4,54,2018-05
seasons,5VBjyOQzqlPNgdRPMM6prF,spotify:track:5VBjyOQzqlPNgdRPMM6prF,wave to earth,summer flows 0.02,spotify:album:3NRNR4txhuRLhnQUUlqWXH,0.372,0.273,7,-10.629,1,0.0268,0.782,0.0463,0.219,0.165,60.038,spotify:track:5VBjyOQzqlPNgdRPMM6prF,255998,4,79,2020-08
Nahuhulog,1t2gvCG4jH1kYE9sX2PrRs,spotify:track:1t2gvCG4jH1kYE9sX2PrRs,Jed Baruelo,Nahuhulog,spotify:album:6djSRoiGffRDFthmbsRgDP,0.612,0.389,4,-12.725,0,0.0578,0.837,0.00461,0.306,0.348,125.091,spotify:track:1t2gvCG4jH1kYE9sX2PrRs,227262,4,64,2022-05
Ligaya,4IeuTj1pEHuL9vJSiEqEfR,spotify:track:4IeuTj1pEHuL9vJSiEqEfR,mrld,Ligaya,spotify:album:0ccUyUkrIynFO5USku5IHH,0.458,0.533,0,-5.249,1,0.0381,0.447,0.0,0.114,0.343,149.832,spotify:track:4IeuTj1pEHuL9vJSiEqEfR,248800,4,65,2021-10
Oceans & Engines,0XZW4ZKXOwo9kCyDpXGNc7,spotify:track:0XZW4ZKXOwo9kCyDpXGNc7,NIKI,Nicole,spotify:album:0Cu6JzzodKQ5Lzccubu5zj,0.371,0.314,1,-8.92,1,0.0347,0.622,1.18e-05,0.0893,0.066,95.109,spotify:track:0XZW4ZKXOwo9kCyDpXGNc7,336000,4,72,2022-08
Let You Break My Heart Again,709p9UGPAuyImWf1Z3vjRo,spotify:track:709p9UGPAuyImWf1Z3vjRo,Laufey,Let You Break My Heart Again,spotify:album:2YkyuQGoMV2FlG7mFprnRf,0.299,0.142,2,-15.134,1,0.0369,0.965,0.113,0.111,0.123,76.748,spotify:track:709p9UGPAuyImWf1Z3vjRo,269066,4,76,2021-08
Tadhana,6FIEuf1JIzmCtach0gXpeG,spotify:track:6FIEuf1JIzmCtach0gXpeG,Up Dharma Down,Capacities,spotify:album:1QpFitywD6FWjFWvTmLOw9,0.685,0.322,6,-13.2,1,0.0369,0.162,0.0299,0.0809,0.508,155.977,spotify:track:6FIEuf1JIzmCtach0gXpeG,222446,4,75,2012-12
Dilaw,2ADSh3Mp744n2586tpUtIW,spotify:track:2ADSh3Mp744n2586tpUtIW,Maki,Dilaw,spotify:album:1gbgbQj9mCxtp3IPybhMzp,0.652,0.674,9,-5.026,1,0.0276,0.00599,3.5e-06,0.307,0.458,126.004,spotify:track:2ADSh3Mp744n2586tpUtIW,192380,4,78,2024-05
About You,1fDFHXcykq4iw8Gg7s5hG9,spotify:track:1fDFHXcykq4iw8Gg7s5hG9,The 1975,Being Funny In A Foreign Language,spotify:album:6dVCpQ7oGJD1oYs2fv1t5M,0.416,0.762,2,-7.385,1,0.0279,0.312,0.804,0.0559,0.461,95.967,spotify:track:1fDFHXcykq4iw8Gg7s5hG9,326490,4,81,2022-10
Mahika,2nqlM3gNBMi5Zf9MDzp2Xi,spotify:track:2nqlM3gNBMi5Zf9MDzp2Xi,Adie,Senaryo,spotify:album:5UNDk7qptf3EtMNoIh3w0k,0.637,0.455,7,-7.404,1,0.0385,0.75,0.0,0.13,0.608,82.094,spotify:track:2nqlM3gNBMi5Zf9MDzp2Xi,201951,4,72,2023-12
sining (feat. Jay R),1imaIe1NEAaWnLF0BY0V6F,spotify:track:1imaIe1NEAaWnLF0BY0V6F,Dionela,sining (feat. Jay R),spotify:album:6dsECFlRFW0X7ZmpjZzI3m,0.65,0.424,9,-11.0,1,0.109,0.438,0.0,0.102,0.403,119.589,spotify:track:1imaIe1NEAaWnLF0BY0V6F,200000,4,80,2024-06
HEAVEN AND BACK,1JdQibdvxgcrB8Rv1KFndw,spotify:track:1JdQibdvxgcrB8Rv1KFndw,Chase Atlantic,PHASES,spotify:album:2WLUF4duyNMxLMnSMyfN6L,0.309,0.793,10,-6.195,0,0.0774,0.0902,0.092,0.0888,0.532,193.714,spotify:track:1JdQibdvxgcrB8Rv1KFndw,248240,4,75,2019-06
Bumalik Ka Na Sa'kin,1RIqzlphRm2btQO0LgHWsN,spotify:track:1RIqzlphRm2btQO0LgHWsN,Silent Sanctuary,Monodramatic,spotify:album:3ZlePmbDly7zZxzi8MdWib,0.63,0.586,2,-8.581,1,0.04,0.004,0.0,0.0749,0.792,123.995,spotify:track:1RIqzlphRm2btQO0LgHWsN,216386,4,70,2013-11
Ang Pag-ibig,639Wg7NFfgbwjSwDphqgvz,spotify:track:639Wg7NFfgbwjSwDphqgvz,Rob Deniel,Ang Pag-ibig,spotify:album:7lheyrZDUh2R6N2mBWXnqP,0.433,0.642,9,-7.382,1,0.0478,0.61,5.46e-05,0.0861,0.349,203.724,spotify:track:639Wg7NFfgbwjSwDphqgvz,287647,3,60,2023-03
Juno,21B4gaTWnTkuSh77iWEXdS,spotify:track:21B4gaTWnTkuSh77iWEXdS,Sabrina Carpenter,Short n' Sweet,spotify:album:3iPSVi54hsacKKl1xIR2eH,0.633,0.725,5,-4.257,1,0.0427,0.0461,0.0,0.205,0.64,130.504,spotify:track:21B4gaTWnTkuSh77iWEXdS,223192,4,87,2024-08
Valentine,6cx5CvFhqN19efStehJqoW,spotify:track:6cx5CvFhqN19efStehJqoW,Laufey,Everything I Know About Love,spotify:album:0Ydm84ftyiWRGOIFkdl30L,0.472,0.204,3,-13.065,1,0.0452,0.917,0.0,0.107,0.224,82.51,spotify:track:6cx5CvFhqN19efStehJqoW,168906,4,76,2022-08
Unti-Unti,0DdC92EziGIEN6j7kTCKQX,spotify:track:0DdC92EziGIEN6j7kTCKQX,Up Dharma Down,Unti-Unti,spotify:album:22DhzsGO72BgYKAAXFGsyb,0.629,0.38,2,-8.072,1,0.0323,0.186,0.000407,0.0338,0.655,155.97,spotify:track:0DdC92EziGIEN6j7kTCKQX,283825,4,71,2017-02
Every Summertime,68HocO7fx9z0MgDU0ZPHro,spotify:track:68HocO7fx9z0MgDU0ZPHro,NIKI,Every Summertime,spotify:album:2HPj0XZe9WduSsyKTQqgVa,0.628,0.676,6,-4.227,1,0.0424,0.393,6.94e-05,0.0978,0.723,78.996,spotify:track:68HocO7fx9z0MgDU0ZPHro,215686,4,73,2021-08
Namumula,5OAGg2B2BjxzpiEcuzaCkZ,spotify:track:5OAGg2B2BjxzpiEcuzaCkZ,Maki,Namumula,spotify:album:5nS1IYsFBBHe1hZlcbrypc,0.568,0.611,0,-8.202,1,0.0392,0.0239,0.0,0.159,0.478,75.979,spotify:track:5OAGg2B2BjxzpiEcuzaCkZ,174473,4,74,2024-08
Lihim,2K0CH6BtfBtY7wMnsKIuzo,spotify:track:2K0CH6BtfBtY7wMnsKIuzo,Arthur Miguel,Lihim,spotify:album:2FIBgr9TXQpqItmTNIT89U,0.48,0.538,8,-8.297,1,0.0398,0.596,0.000229,0.206,0.392,207.924,spotify:track:2K0CH6BtfBtY7wMnsKIuzo,246346,3,65,2023-07
Happy w u,0EA8jl8Wje9ALRKC8Qlzyt,spotify:track:0EA8jl8Wje9ALRKC8Qlzyt,Arthur Nery,Happy w u,spotify:album:3wGtsGy8caFXddQMJau2kb,0.596,0.182,6,-16.004,1,0.0378,0.903,0.0,0.0909,0.268,111.734,spotify:track:0EA8jl8Wje9ALRKC8Qlzyt,280714,3,63,2020-12
Lovers Rock,6dBUzqjtbnIa1TwYbyw5CM,spotify:track:6dBUzqjtbnIa1TwYbyw5CM,TV Girl,French Exit,spotify:album:4Hai0uVzRbyTSaTPzxTY4e,0.559,0.871,5,-5.338,0,0.0397,7.53e-06,0.00545,0.096,0.572,104.97,spotify:track:6dBUzqjtbnIa1TwYbyw5CM,213920,4,85,2014-06
