track_name,track_id,track_uri,artist_name,album_name,album_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,duration_ms,time_signature,popularity,release_date,genre
Come On In My Kitchen,7wmX9k2kWK3PrfBbTgOzZV,spotify:track:7wmX9k2kWK3PrfBbTgOzZV,Crooked Still,Shaken By A Low Sound,spotify:album:1MXfI5PVHDjkZJrlM9aFkp,0.629,0.218,6,-12.951,0,0.0555,0.71,0.123,0.103,0.235,142.736,spotify:track:7wmX9k2kWK3PrfBbTgOzZV,299213,4,28,2006-08,Folk
Infiltrate,5n71qHTwWmbYopWjTXuU3z,spotify:track:5n71qHTwWmbYopWjTXuU3z,Phlocalyst,Breakup,spotify:album:78A7EqSU92xHDKZy3JzJ8c,0.665,0.249,1,-12.285,0,0.125,0.316,0.926,0.126,0.177,82.009,spotify:track:5n71qHTwWmbYopWjTXuU3z,143446,4,29,2024-08,Hip-Hop/Rap
Vana,6r5Cyh4URoP8SnzgYwe4LP,spotify:track:6r5Cyh4URoP8SnzgYwe4LP,Vitico Flow,Vibe Cycle,spotify:album:38JT8w7YlH8HlJC5uzdf3O,0.669,0.795,2,-11.0,1,0.0355,0.131,0.813,0.137,0.325,126.098,spotify:track:6r5Cyh4URoP8SnzgYwe4LP,137038,4,23,2024-05,Worldwide
Lose Your Love (Dirty Projectors x Chromeo) - Chromeo Remix,6VLQWIRjq7UjmTaN3ra51Q,spotify:track:6VLQWIRjq7UjmTaN3ra51Q,Dirty Projectors,Lose Your Love (Dirty Projectors x Chromeo) [Chromeo Remix],spotify:album:6Y6YeVV1awYIyWDl8afa0f,0.835,0.785,8,-4.575,1,0.034,0.0988,0.000192,0.119,0.847,118.002,spotify:track:6VLQWIRjq7UjmTaN3ra51Q,222875,4,20,2020-10,Not Found
When I Wake Up,6TYaTUkuerVnw7neS9bpsY,spotify:track:6TYaTUkuerVnw7neS9bpsY,Iggy,When I Wake Up,spotify:album:4q0YaMUZW9at7ItLHFcB7c,0.663,0.628,5,-8.583,1,0.0776,0.454,0.00336,0.091,0.281,119.992,spotify:track:6TYaTUkuerVnw7neS9bpsY,175266,4,26,2016-03,Pop
Hopeless (feat. Indiana Massara),2QlZXJjIexAkiecVQY1ULQ,spotify:track:2QlZXJjIexAkiecVQY1ULQ,Illy,Hopeless (feat. Indiana Massara),spotify:album:29DTUQRmKtv8cUSeOw78qG,0.704,0.636,4,-5.111,1,0.0484,0.137,0.0,0.176,0.606,127.931,spotify:track:2QlZXJjIexAkiecVQY1ULQ,201850,4,24,2023-10,Hip-Hop/Rap
Reloaded,1uVubIhZXst2aDfGtoR6M5,spotify:track:1uVubIhZXst2aDfGtoR6M5,War Force,The Edge Of Insanity,spotify:album:4InuMy9NQVYVwoQvilzZuz,0.598,0.949,8,-5.332,1,0.169,0.0721,1.14e-05,0.625,0.148,154.946,spotify:track:1uVubIhZXst2aDfGtoR6M5,195093,3,23,2017-04,Dance
Soft Sheets,448KpXRMQlt96H09gkJpNW,spotify:track:448KpXRMQlt96H09gkJpNW,Miles Johanson,Violet Dreams,spotify:album:34udaWL7Kx5w8SakddKLvr,0.738,0.119,0,-21.638,1,0.0383,0.942,0.877,0.0941,0.323,96.855,spotify:track:448KpXRMQlt96H09gkJpNW,98973,4,26,2024-10,Jazz
Vibe 43,44zwOzoqAk9GhsoOhfLI2B,spotify:track:44zwOzoqAk9GhsoOhfLI2B,Marques Murrey,"Chai Tea Vibes LoFi, Vol. 5",spotify:album:6548d6mF8o3V02mijKkrsl,0.702,0.384,8,-7.292,1,0.0916,0.358,0.781,0.246,0.67,88.99,spotify:track:44zwOzoqAk9GhsoOhfLI2B,138469,4,24,2023-05,Hip-Hop/Rap
There´s A Whole Lot Of Loving,5ZYrnQZRxAQZW28pJtIDO2,spotify:track:5ZYrnQZRxAQZW28pJtIDO2,Guys 'n' Dolls,"Guys 'N Dolls, The Greatest Hits",spotify:album:6RAhvTgnJCLyleANO5Sgci,0.429,0.737,7,-9.522,1,0.0559,0.364,0.0,0.573,0.612,121.184,spotify:track:5ZYrnQZRxAQZW28pJtIDO2,193210,4,27,2011-07,Rock
